Year,Province,Use of Funds,Expenditure by Provincial/Territorial Government,Expenditure by Public Government,Total Expenditure,"Critical Illness rate (per 10,000 population)",Life Expectancy
2016,British Columbia,Public Health,"1,45,51,38,983","1,81,62,32,313","3,27,13,71,296",527.3,82.54
2017,British Columbia,Public Health,"1,52,93,87,792","1,90,96,20,744","3,43,90,08,536",518.7,82.34
2018,British Columbia,Public Health,"1,59,95,67,765","2,00,48,37,029","3,60,44,04,794",541.9,82.21
2019,British Columbia,Public Health,"1,70,89,00,125","2,16,06,12,661","3,86,95,12,786",554,82.36
2020,British Columbia,Public Health,"1,79,93,49,505","2,31,93,22,503","4,11,86,72,008",514.4,82.39
2021,British Columbia,Public Health,"1,91,48,02,001","2,51,86,54,177","4,43,34,56,178",548.2,82.43
2022,British Columbia,Public Health,"2,46,11,17,655","3,12,17,05,099","5,58,28,22,754",556.4,82.46
2023,British Columbia,Public Health,"2,58,46,82,505","3,26,56,46,822","5,85,03,29,327",564.5,82.54
2003,British Columbia,Administration,"19,04,55,634","29,08,98,824","48,13,54,458",442.5,80.42
2004,British Columbia,Administration,"19,52,91,319","30,00,13,743","49,53,05,062",452.6,80.63
2005,British Columbia,Administration,"23,41,30,051","36,88,75,456","60,30,05,507",465.1,80.76
2006,British Columbia,Administration,"23,96,09,186","37,79,41,456","61,75,50,642",473.7,80.92
2007,British Columbia,Administration,"22,20,85,702","37,79,13,030","59,99,98,733",498.4,81.07
2008,British Columbia,Administration,"19,01,92,166","33,74,80,995","52,76,73,161",493.6,81.23
2009,British Columbia,Administration,"16,69,52,983","32,44,33,141","49,13,86,124",505.5,81.49
2010,British Columbia,Administration,"14,59,15,816","30,10,16,377","44,69,32,193",503.3,81.82
2011,British Columbia,Administration,"17,78,68,092","33,86,01,320","51,64,69,412",516.1,82.15
2012,British Columbia,Administration,"17,60,92,674","34,77,27,465","52,38,20,139",522.5,82.36
2013,British Columbia,Administration,"18,04,68,373","36,00,99,562","54,05,67,935",524.6,82.47
2014,British Columbia,Administration,"20,44,48,482","38,82,66,938","59,27,15,420",518.4,82.59
2015,British Columbia,Administration,"21,73,02,499","40,41,31,594","62,14,34,093",528.2,82.61
2016,British Columbia,Administration,"22,85,90,521","41,83,74,325","64,69,64,845",527.3,82.54
2017,British Columbia,Administration,"24,69,86,911","45,56,72,914","70,26,59,825",518.7,82.34
2018,British Columbia,Administration,"24,62,49,683","46,39,86,615","71,02,36,298",541.9,82.21
2019,British Columbia,Administration,"25,04,28,480","44,63,72,610","69,68,01,090",554,82.36
2020,British Columbia,Administration,"26,09,41,244","49,65,39,470","75,74,80,714",514.4,82.39
2021,British Columbia,Administration,"28,43,24,497","54,26,99,756","82,70,24,253",548.2,82.43
2022,British Columbia,Administration,"34,87,60,423","62,41,19,725","97,28,80,148",556.4,82.46
2023,British Columbia,Administration,"38,97,21,118","67,44,26,567","1,06,41,47,685",564.5,82.54
2003,British Columbia,Other Health Spending: Net of HCC,"65,19,16,100","84,07,22,406","1,49,26,38,507",442.5,80.42
2004,British Columbia,Other Health Spending: Net of HCC,"73,20,47,495","93,98,49,986","1,67,18,97,481",452.6,80.63
2005,British Columbia,Other Health Spending: Net of HCC,"88,79,67,050","1,08,85,53,897","1,97,65,20,947",465.1,80.76
2006,British Columbia,Other Health Spending: Net of HCC,"1,04,30,48,163","1,24,50,25,445","2,28,80,73,608",473.7,80.92
2007,British Columbia,Other Health Spending: Net of HCC,"1,27,38,52,408","1,49,31,09,371","2,76,69,61,779",498.4,81.07
2008,British Columbia,Other Health Spending: Net of HCC,"1,39,28,56,057","1,66,36,57,136","3,05,65,13,193",493.6,81.23
2009,British Columbia,Other Health Spending: Net of HCC,"1,45,18,02,175","1,77,53,23,204","3,22,71,25,379",505.5,81.49
2010,British Columbia,Other Health Spending: Net of HCC,"1,35,38,59,349","1,68,12,08,970","3,03,50,68,319",503.3,81.82
2011,British Columbia,Other Health Spending: Net of HCC,"1,35,66,76,670","1,68,06,43,187","3,03,73,19,857",516.1,82.15
2012,British Columbia,Other Health Spending: Net of HCC,"1,64,29,66,922","2,03,13,86,616","3,67,43,53,538",522.5,82.36
2013,British Columbia,Other Health Spending: Net of HCC,"40,25,66,584","2,15,02,74,512","2,55,28,41,096",524.6,82.47
2014,British Columbia,Other Health Spending: Net of HCC,"49,10,55,001","2,31,15,93,534","2,80,26,48,535",518.4,82.59
2015,British Columbia,Other Health Spending: Net of HCC,"42,97,65,162","2,28,89,44,952","2,71,87,10,114",528.2,82.61
2016,British Columbia,Other Health Spending: Net of HCC,"43,07,71,029","2,38,42,83,758","2,81,50,54,787",527.3,82.54
2017,British Columbia,Other Health Spending: Net of HCC,"50,06,24,363","2,56,43,79,203","3,06,50,03,567",518.7,82.34
2018,British Columbia,Other Health Spending: Net of HCC,"52,26,62,551","2,70,43,25,813","3,22,69,88,364",541.9,82.21
2019,British Columbia,Other Health Spending: Net of HCC,"51,32,66,614","2,92,77,03,050","3,44,09,69,663",554,82.36
2020,British Columbia,Other Health Spending: Net of HCC,"43,78,00,342","3,12,75,31,276","3,56,53,31,619",514.4,82.39
2021,British Columbia,Other Health Spending: Net of HCC,"69,28,39,784","3,56,56,13,541","4,25,84,53,325",548.2,82.43
2022,British Columbia,Other Health Spending: Net of HCC,"89,84,31,059","4,02,45,97,760","4,92,30,28,819",556.4,82.46
2023,British Columbia,Other Health Spending: Net of HCC,"96,40,57,337","4,25,31,37,164","5,21,71,94,501",564.5,82.54
2003,British Columbia,COVID-19 Response Funding,—,—,0,442.5,80.42
2004,British Columbia,COVID-19 Response Funding,—,—,0,452.6,80.63
2005,British Columbia,COVID-19 Response Funding,—,—,0,465.1,80.76
2006,British Columbia,COVID-19 Response Funding,—,—,0,473.7,80.92
2007,British Columbia,COVID-19 Response Funding,—,—,0,498.4,81.07
2008,British Columbia,COVID-19 Response Funding,—,—,0,493.6,81.23
2009,British Columbia,COVID-19 Response Funding,—,—,0,505.5,81.49
2010,British Columbia,COVID-19 Response Funding,—,—,0,503.3,81.82
2011,British Columbia,COVID-19 Response Funding,—,—,0,516.1,82.15
2012,British Columbia,COVID-19 Response Funding,—,—,0,522.5,82.36
2013,British Columbia,COVID-19 Response Funding,—,—,0,524.6,82.47
2014,British Columbia,COVID-19 Response Funding,—,—,0,518.4,82.59
2015,British Columbia,COVID-19 Response Funding,—,—,0,528.2,82.61
2016,British Columbia,COVID-19 Response Funding,—,—,0,527.3,82.54
2017,British Columbia,COVID-19 Response Funding,—,—,0,518.7,82.34
2018,British Columbia,COVID-19 Response Funding,—,—,0,541.9,82.21
2019,British Columbia,COVID-19 Response Funding,—,—,0,554,82.36
2020,British Columbia,COVID-19 Response Funding,"1,77,75,27,020","3,65,38,18,274","5,43,13,45,294",514.4,82.39
2021,British Columbia,COVID-19 Response Funding,"2,24,45,33,359","3,95,25,13,833","6,19,70,47,192",548.2,82.43
2022,British Columbia,COVID-19 Response Funding,"55,07,16,416","92,03,41,629","1,47,10,58,045",556.4,82.46
2023,British Columbia,COVID-19 Response Funding,—,—,0,564.5,82.54
2003,British Columbia,Total,"11,18,55,35,379","11,92,98,04,415","23,11,53,39,794",442.5,80.42
2004,British Columbia,Total,"11,43,44,64,451","12,23,03,53,184","23,66,48,17,635",452.6,80.63
2005,British Columbia,Total,"12,16,88,92,010","13,00,03,88,375","25,16,92,80,385",465.1,80.76
2006,British Columbia,Total,"12,69,00,03,750","13,54,49,70,547","26,23,49,74,297",473.7,80.92
2007,British Columbia,Total,"13,64,02,23,774","14,58,32,71,858","28,22,34,95,632",498.4,81.07
2008,British Columbia,Total,"14,53,11,65,380","15,60,46,96,359","30,13,58,61,739",493.6,81.23
2009,British Columbia,Total,"15,16,64,77,096","16,32,64,61,889","31,49,29,38,985",505.5,81.49
2010,British Columbia,Total,"15,91,55,30,311","17,09,92,80,145","33,01,48,10,455",503.3,81.82
2011,British Columbia,Total,"16,49,41,19,271","17,70,15,24,560","34,19,56,43,831",516.1,82.15
2012,British Columbia,Total,"17,57,40,66,565","18,88,69,97,920","36,46,10,64,485",522.5,82.36
2013,British Columbia,Total,"17,96,13,82,771","19,31,64,38,492","37,27,78,21,263",524.6,82.47
2014,British Columbia,Total,"18,58,19,09,476","19,96,93,96,478","38,55,13,05,953",518.4,82.59
2015,British Columbia,Total,"19,27,64,31,005","20,68,23,10,607","39,95,87,41,612",528.2,82.61
2016,British Columbia,Total,"20,10,37,11,340","21,60,90,72,989","41,71,27,84,329",527.3,82.54
2017,British Columbia,Total,"20,81,99,61,531","22,41,46,46,259","43,23,46,07,790",518.7,82.34
2018,British Columbia,Total,"21,72,13,34,221","23,36,65,99,013","45,08,79,33,233",541.9,82.21
2019,British Columbia,Total,"23,07,27,16,531","24,77,55,45,100","47,84,82,61,631",554,82.36
2020,British Columbia,Total,"25,87,11,00,677","29,54,83,69,459","55,41,94,70,136",514.4,82.39
2021,British Columbia,Total,"28,50,62,11,440","32,09,84,68,668","60,60,46,80,108",548.2,82.43
2022,British Columbia,Total,"30,39,65,76,258","32,76,65,31,026","63,16,31,07,284",556.4,82.46
2023,British Columbia,Total,"32,46,98,94,379","34,53,79,50,920","67,00,78,45,299",564.5,82.54
2003,Yukon,Hospitals,"3,21,00,812","3,26,93,160","6,47,93,972",325.7,76.89
2004,Yukon,Hospitals,"3,42,71,868","3,47,58,223","6,90,30,091",330.8,77.07
2005,Yukon,Hospitals,"3,76,21,940","3,82,77,818","7,58,99,758",344.8,77.46
2006,Yukon,Hospitals,"4,58,70,658","4,71,31,890","9,30,02,547",294.4,76.95
2007,Yukon,Hospitals,"4,64,97,730","4,74,10,333","9,39,08,063",337.9,76.76
2008,Yukon,Hospitals,"4,86,88,446","4,95,47,885","9,82,36,331",287.1,76.76
2009,Yukon,Hospitals,"5,32,76,787","5,40,31,141","10,73,07,928",429.8,76.86
2010,Yukon,Hospitals,"6,58,57,000","6,66,55,875","13,25,12,875",419.1,77.25
2011,Yukon,Hospitals,"6,88,25,823","6,97,65,558","13,85,91,381",424.1,77.99
2012,Yukon,Hospitals,"7,24,10,686","7,33,82,969","14,57,93,655",387.3,78.46
2013,Yukon,Hospitals,"8,25,22,192","8,34,33,106","16,59,55,298",384,78.61
2014,Yukon,Hospitals,"8,74,69,563","8,82,81,881","17,57,51,443",364,78.53
2015,Yukon,Hospitals,"9,26,68,020","9,35,06,205","18,61,74,226",451.3,78.56
2016,Yukon,Hospitals,"9,71,86,323","9,80,32,093","19,52,18,416",441,78.68
2017,Yukon,Hospitals,"10,14,66,258","10,23,37,152","20,38,03,410",417.4,78.76
2018,Yukon,Hospitals,"10,39,45,985","10,48,30,177","20,87,76,162",457.9,78.8
2019,Yukon,Hospitals,"11,08,63,849","11,18,35,404","22,26,99,254",424.9,78.91
2020,Yukon,Hospitals,"11,20,97,849","11,37,10,446","22,58,08,295",393.3,79.01
2021,Yukon,Hospitals,"11,97,90,485","12,17,08,620","24,14,99,105",302.6,79.1
2022,Yukon,Hospitals,"12,66,22,812","12,86,59,317","25,52,82,129",289.9,79.17
2023,Yukon,Hospitals,"12,66,76,835","12,87,73,141","25,54,49,976",290.6,79.22
2003,Yukon,Physicians,"1,57,08,798","1,60,35,581","3,17,44,379",325.7,76.89
2004,Yukon,Physicians,"1,76,97,383","1,80,07,810","3,57,05,193",330.8,77.07
2005,Yukon,Physicians,"1,86,34,786","1,90,49,876","3,76,84,662",344.8,77.46
2006,Yukon,Physicians,"2,13,90,230","2,18,18,152","4,32,08,382",294.4,76.95
2007,Yukon,Physicians,"2,02,69,925","2,07,22,431","4,09,92,356",337.9,76.76
2008,Yukon,Physicians,"2,25,22,272","2,29,74,501","4,54,96,773",287.1,76.76
2009,Yukon,Physicians,"2,49,17,161","2,54,88,690","5,04,05,851",429.8,76.86
2010,Yukon,Physicians,"2,88,12,279","2,94,59,723","5,82,72,002",419.1,77.25
2011,Yukon,Physicians,"3,00,62,892","3,07,13,782","6,07,76,674",424.1,77.99
2012,Yukon,Physicians,"3,25,77,107","3,32,72,142","6,58,49,249",387.3,78.46
2013,Yukon,Physicians,"3,50,08,004","3,55,74,521","7,05,82,525",384,78.61
2014,Yukon,Physicians,"3,77,55,068","3,84,78,312","7,62,33,380",364,78.53
2015,Yukon,Physicians,"3,98,12,064","4,06,11,488","8,04,23,551",451.3,78.56
2016,Yukon,Physicians,"4,37,51,507","4,45,23,012","8,82,74,519",441,78.68
2017,Yukon,Physicians,"4,57,66,153","4,66,23,150","9,23,89,304",417.4,78.76
2018,Yukon,Physicians,"4,73,39,629","4,82,67,434","9,56,07,063",457.9,78.8
2019,Yukon,Physicians,"5,13,22,566","5,23,64,275","10,36,86,841",424.9,78.91
2020,Yukon,Physicians,"5,12,99,825","5,51,22,852","10,64,22,677",393.3,79.01
2021,Yukon,Physicians,"5,45,10,539","5,95,00,739","11,40,11,278",302.6,79.1
2022,Yukon,Physicians,"5,92,07,906","6,46,04,023","12,38,11,928",289.9,79.17
2023,Yukon,Physicians,"5,86,67,546","6,42,56,674","12,29,24,220",290.6,79.22
2003,Yukon,Other Professionals,"14,65,622","33,95,883","48,61,505",325.7,76.89
2004,Yukon,Other Professionals,"15,51,352","35,09,091","50,60,443",330.8,77.07
2005,Yukon,Other Professionals,"17,26,526","44,37,046","61,63,572",344.8,77.46
2006,Yukon,Other Professionals,"17,61,492","54,79,524","72,41,016",294.4,76.95
2007,Yukon,Other Professionals,"17,25,194","52,28,485","69,53,679",337.9,76.76
2008,Yukon,Other Professionals,"18,96,220","53,76,324","72,72,544",287.1,76.76
2009,Yukon,Other Professionals,"19,44,046","71,85,392","91,29,438",429.8,76.86
2010,Yukon,Other Professionals,"21,14,272","83,54,335","1,04,68,607",419.1,77.25
2011,Yukon,Other Professionals,"22,80,659","82,02,695","1,04,83,353",424.1,77.99
2012,Yukon,Other Professionals,"22,67,897","80,08,671","1,02,76,568",387.3,78.46
2013,Yukon,Other Professionals,"22,91,550","81,72,590","1,04,64,140",384,78.61
2014,Yukon,Other Professionals,"25,62,282","80,70,388","1,06,32,670",364,78.53
2015,Yukon,Other Professionals,"26,29,281","83,94,292","1,10,23,573",451.3,78.56
2016,Yukon,Other Professionals,"29,51,657","71,89,565","1,01,41,222",441,78.68
2017,Yukon,Other Professionals,"31,20,773","69,29,590","1,00,50,363",417.4,78.76
2018,Yukon,Other Professionals,"32,64,978","74,04,683","1,06,69,660",457.9,78.8
2019,Yukon,Other Professionals,"36,39,212","81,76,229","1,18,15,442",424.9,78.91
2020,Yukon,Other Professionals,"32,41,824","87,22,879","1,19,64,703",393.3,79.01
2021,Yukon,Other Professionals,"41,11,753","1,11,90,643","1,53,02,396",302.6,79.1
2022,Yukon,Other Professionals,"46,25,052","1,26,71,540","1,72,96,592",289.9,79.17
2023,Yukon,Other Professionals,"92,29,569","1,75,67,201","2,67,96,770",290.6,79.22
2003,Yukon,Drugs,"50,95,910","90,41,262","1,41,37,173",325.7,76.89
2004,Yukon,Drugs,"58,59,857","97,62,489","1,56,22,346",330.8,77.07
2005,Yukon,Drugs,"65,08,439","1,07,41,026","1,72,49,465",344.8,77.46
2006,Yukon,Drugs,"71,75,361","1,14,62,489","1,86,37,850",294.4,76.95
2007,Yukon,Drugs,"69,65,007","1,20,65,596","1,90,30,603",337.9,76.76
2008,Yukon,Drugs,"76,42,142","1,24,25,710","2,00,67,852",287.1,76.76
2009,Yukon,Drugs,"80,62,740","1,28,99,037","2,09,61,777",429.8,76.86
2010,Yukon,Drugs,"78,07,088","1,30,46,107","2,08,53,195",419.1,77.25
2011,Yukon,Drugs,"85,48,473","1,40,72,902","2,26,21,375",424.1,77.99
2012,Yukon,Drugs,"88,19,582","1,43,65,712","2,31,85,294",387.3,78.46
2013,Yukon,Drugs,"79,03,987","1,32,59,418","2,11,63,405",384,78.61
2014,Yukon,Drugs,"79,19,551","1,33,81,479","2,13,01,030",364,78.53
2015,Yukon,Drugs,"1,04,33,803","1,68,98,101","2,73,31,905",451.3,78.56
2016,Yukon,Drugs,"1,03,22,017","1,59,94,487","2,63,16,504",441,78.68
2017,Yukon,Drugs,"1,02,61,919","1,58,51,333","2,61,13,252",417.4,78.76
2018,Yukon,Drugs,"1,15,09,834","1,72,82,392","2,87,92,226",457.9,78.8
2019,Yukon,Drugs,"1,16,54,258","1,79,67,459","2,96,21,717",424.9,78.91
2020,Yukon,Drugs,"1,15,00,905","1,81,44,439","2,96,45,345",393.3,79.01
2021,Yukon,Drugs,"1,23,88,008","2,04,12,466","3,28,00,474",302.6,79.1
2022,Yukon,Drugs,"1,40,91,239","2,32,75,290","3,73,66,529",289.9,79.17
2023,Yukon,Drugs,"1,15,60,037","2,10,94,415","3,26,54,452",290.6,79.22
2003,Yukon,Public Health,"1,90,51,696","2,69,09,351","4,59,61,047",325.7,76.89
2004,Yukon,Public Health,"2,03,33,692","2,67,95,779","4,71,29,471",330.8,77.07
2005,Yukon,Public Health,"2,13,40,291","2,86,80,895","5,00,21,186",344.8,77.46
2006,Yukon,Public Health,"2,35,79,015","3,29,45,154","5,65,24,168",294.4,76.95
2007,Yukon,Public Health,"2,75,02,778","3,77,62,694","6,52,65,472",337.9,76.76
2008,Yukon,Public Health,"3,29,59,664","4,21,69,852","7,51,29,516",287.1,76.76
2009,Yukon,Public Health,"4,11,94,769","5,50,79,505","9,62,74,274",429.8,76.86
2010,Yukon,Public Health,"3,50,20,039","4,76,56,565","8,26,76,604",419.1,77.25
2011,Yukon,Public Health,"3,30,91,830","4,59,65,741","7,90,57,571",424.1,77.99
2012,Yukon,Public Health,"3,24,35,694","4,58,14,062","7,82,49,756",387.3,78.46
2013,Yukon,Public Health,"3,36,75,448","4,72,19,679","8,08,95,127",384,78.61
2014,Yukon,Public Health,"2,99,15,720","4,37,12,322","7,36,28,042",364,78.53
2015,Yukon,Public Health,"3,02,27,557","4,42,89,651","7,45,17,208",451.3,78.56
2016,Yukon,Public Health,"4,04,68,607","5,51,01,102","9,55,69,709",441,78.68
2017,Yukon,Public Health,"4,61,83,471","6,08,13,163","10,69,96,634",417.4,78.76
2018,Yukon,Public Health,"4,39,79,877","5,97,00,543","10,36,80,419",457.9,78.8
2019,Yukon,Public Health,"4,45,04,244","6,10,73,507","10,55,77,751",424.9,78.91
2020,Yukon,Public Health,"4,45,92,821","7,10,73,065","11,56,65,887",393.3,79.01
2021,Yukon,Public Health,"4,64,38,130","7,53,29,248","12,17,67,378",302.6,79.1
2022,Yukon,Public Health,"5,82,27,467","8,89,68,460","14,71,95,928",289.9,79.17
2023,Yukon,Public Health,"5,42,53,771","8,61,35,581","14,03,89,351",290.6,79.22
2003,Yukon,Administration,"29,31,010","51,20,478","80,51,488",325.7,76.89
2004,Yukon,Administration,"29,26,988","48,94,533","78,21,521",330.8,77.07
2005,Yukon,Administration,"31,82,727","96,02,171","1,27,84,898",344.8,77.46
2006,Yukon,Administration,"35,18,818","1,13,56,166","1,48,74,985",294.4,76.95
2007,Yukon,Administration,"36,85,874","1,18,04,709","1,54,90,584",337.9,76.76
2008,Yukon,Administration,"41,82,390","1,33,92,170","1,75,74,560",287.1,76.76
2009,Yukon,Administration,"52,63,714","99,65,796","1,52,29,510",429.8,76.86
2010,Yukon,Administration,"54,25,906","74,53,925","1,28,79,831",419.1,77.25
2011,Yukon,Administration,"57,42,711","76,04,306","1,33,47,017",424.1,77.99
2012,Yukon,Administration,"65,16,685","83,60,241","1,48,76,925",387.3,78.46
2013,Yukon,Administration,"81,56,775","99,82,824","1,81,39,599",384,78.61
2014,Yukon,Administration,"81,82,500","95,64,301","1,77,46,801",364,78.53
2015,Yukon,Administration,"84,42,479","96,21,197","1,80,63,676",451.3,78.56
2016,Yukon,Administration,"87,26,548","1,00,21,246","1,87,47,794",441,78.68
2017,Yukon,Administration,"94,11,756","1,08,87,641","2,02,99,397",417.4,78.76
2018,Yukon,Administration,"1,06,03,072","1,29,58,381","2,35,61,453",457.9,78.8
2019,Yukon,Administration,"1,18,65,765","1,60,18,154","2,78,83,919",424.9,78.91
2020,Yukon,Administration,"1,09,49,079","2,20,48,852","3,29,97,931",393.3,79.01
2021,Yukon,Administration,"1,27,27,937","2,95,01,230","4,22,29,167",302.6,79.1
2022,Yukon,Administration,"1,65,02,462","3,59,91,765","5,24,94,228",289.9,79.17
2023,Yukon,Administration,"1,70,40,030","3,72,76,689","5,43,16,719",290.6,79.22
2003,Yukon,Other Health Spending: Net of HCC,"1,14,87,649","1,44,42,540","2,59,30,189",325.7,76.89
2004,Yukon,Other Health Spending: Net of HCC,"1,24,65,656","1,58,33,188","2,82,98,844",330.8,77.07
2005,Yukon,Other Health Spending: Net of HCC,"1,36,37,925","1,75,02,642","3,11,40,568",344.8,77.46
2006,Yukon,Other Health Spending: Net of HCC,"1,26,89,747","2,00,67,907","3,27,57,654",294.4,76.95
2007,Yukon,Other Health Spending: Net of HCC,"1,68,52,121","2,19,22,235","3,87,74,357",337.9,76.76
2008,Yukon,Other Health Spending: Net of HCC,"1,90,81,636","2,35,39,271","4,26,20,908",287.1,76.76
2009,Yukon,Other Health Spending: Net of HCC,"2,02,58,306","2,85,29,732","4,87,88,038",429.8,76.86
2010,Yukon,Other Health Spending: Net of HCC,"2,28,39,470","3,28,96,720","5,57,36,191",419.1,77.25
2011,Yukon,Other Health Spending: Net of HCC,"2,42,53,847","3,48,46,932","5,91,00,779",424.1,77.99
2012,Yukon,Other Health Spending: Net of HCC,"2,58,14,201","3,78,11,927","6,36,26,128",387.3,78.46
2013,Yukon,Other Health Spending: Net of HCC,"2,11,70,550","3,94,74,815","6,06,45,366",384,78.61
2014,Yukon,Other Health Spending: Net of HCC,"2,17,70,606","4,12,84,611","6,30,55,216",364,78.53
2015,Yukon,Other Health Spending: Net of HCC,"2,27,26,718","4,34,80,943","6,62,07,661",451.3,78.56
2016,Yukon,Other Health Spending: Net of HCC,"2,28,72,005","4,52,61,995","6,81,34,000",441,78.68
2017,Yukon,Other Health Spending: Net of HCC,"2,42,57,811","4,94,71,892","7,37,29,703",417.4,78.76
2018,Yukon,Other Health Spending: Net of HCC,"2,51,18,413","5,25,54,267","7,76,72,680",457.9,78.8
2019,Yukon,Other Health Spending: Net of HCC,"2,54,28,328","5,54,76,068","8,09,04,395",424.9,78.91
2020,Yukon,Other Health Spending: Net of HCC,"2,38,85,103","5,99,11,682","8,37,96,785",393.3,79.01
2021,Yukon,Other Health Spending: Net of HCC,"2,64,42,344","6,52,54,161","9,16,96,505",302.6,79.1
2022,Yukon,Other Health Spending: Net of HCC,"3,01,72,281","7,19,39,572","10,21,11,853",289.9,79.17
2023,Yukon,Other Health Spending: Net of HCC,"2,98,85,573","7,27,35,851","10,26,21,424",290.6,79.22
2003,Yukon,COVID-19 Response Funding,—,—,0,325.7,76.89
2004,Yukon,COVID-19 Response Funding,—,—,0,330.8,77.07
2005,Yukon,COVID-19 Response Funding,—,—,0,344.8,77.46
2006,Yukon,COVID-19 Response Funding,—,—,0,294.4,76.95
2007,Yukon,COVID-19 Response Funding,—,—,0,337.9,76.76
2008,Yukon,COVID-19 Response Funding,—,—,0,287.1,76.76
2009,Yukon,COVID-19 Response Funding,—,—,0,429.8,76.86
2010,Yukon,COVID-19 Response Funding,—,—,0,419.1,77.25
2011,Yukon,COVID-19 Response Funding,—,—,0,424.1,77.99
2012,Yukon,COVID-19 Response Funding,—,—,0,387.3,78.46
2013,Yukon,COVID-19 Response Funding,—,—,0,384,78.61
2014,Yukon,COVID-19 Response Funding,—,—,0,364,78.53
2015,Yukon,COVID-19 Response Funding,—,—,0,451.3,78.56
2016,Yukon,COVID-19 Response Funding,—,—,0,441,78.68
2017,Yukon,COVID-19 Response Funding,—,—,0,417.4,78.76
2018,Yukon,COVID-19 Response Funding,—,—,0,457.9,78.8
2019,Yukon,COVID-19 Response Funding,—,—,0,424.9,78.91
2020,Yukon,COVID-19 Response Funding,"3,25,78,830","4,90,69,140","8,16,47,970",393.3,79.01
2021,Yukon,COVID-19 Response Funding,"3,82,80,154","5,31,98,689","9,14,78,843",302.6,79.1
2022,Yukon,COVID-19 Response Funding,"91,60,468","1,23,78,338","2,15,38,806",289.9,79.17
2023,Yukon,COVID-19 Response Funding,—,—,0,290.6,79.22
2003,Yukon,Total,"10,38,47,023","12,40,01,199","22,78,48,222",325.7,76.89
2004,Yukon,Total,"11,32,82,317","13,20,28,565","24,53,10,881",330.8,77.07
2005,Yukon,Total,"12,26,60,569","14,87,65,309","27,14,25,878",344.8,77.46
2006,Yukon,Total,"13,91,90,955","17,39,29,008","31,31,19,963",294.4,76.95
2007,Yukon,Total,"14,65,97,396","18,02,74,553","32,68,71,949",337.9,76.76
2008,Yukon,Total,"16,07,41,947","19,35,05,760","35,42,47,707",287.1,76.76
2009,Yukon,Total,"18,62,41,616","22,48,67,388","41,11,09,004",429.8,76.86
2010,Yukon,Total,"19,87,88,068","23,68,59,358","43,56,47,426",419.1,77.25
2011,Yukon,Total,"21,28,50,827","25,16,04,565","46,44,55,392",424.1,77.99
2012,Yukon,Total,"22,45,63,636","26,53,12,236","48,98,75,871",387.3,78.46
2013,Yukon,Total,"23,53,23,369","27,68,62,895","51,21,86,264",384,78.61
2014,Yukon,Total,"24,24,99,865","28,39,84,249","52,64,84,115",364,78.53
2015,Yukon,Total,"26,26,02,790","30,62,51,538","56,88,54,327",451.3,78.56
2016,Yukon,Total,"32,69,02,266","36,99,32,873","69,68,35,139",441,78.68
2017,Yukon,Total,"36,99,18,739","41,51,64,552","78,50,83,291",417.4,78.76
2018,Yukon,Total,"35,19,07,134","40,10,95,755","75,30,02,889",457.9,78.8
2019,Yukon,Total,"35,23,82,815","40,64,55,312","75,88,38,126",424.9,78.91
2020,Yukon,Total,"37,97,13,965","47,56,39,186","85,53,53,151",393.3,79.01
2021,Yukon,Total,"40,45,18,585","51,30,24,821","91,75,43,406",302.6,79.1
2022,Yukon,Total,"41,72,76,220","52,34,93,542","94,07,69,763",289.9,79.17
2023,Yukon,Total,"40,50,04,365","51,18,79,450","91,68,83,815",290.6,79.22
2003,Northwest Territories,Hospitals,"8,98,72,445","9,04,61,687","18,03,34,133",273.7,75.58
2004,Northwest Territories,Hospitals,"10,29,08,889","10,33,74,316","20,62,83,204",285.8,75.96
2005,Northwest Territories,Hospitals,"10,84,89,925","10,90,37,478","21,75,27,403",276.5,76.88
2006,Northwest Territories,Hospitals,"12,02,43,538","12,08,07,117","24,10,50,655",231.6,77.8
2007,Northwest Territories,Hospitals,"13,73,98,510","13,78,94,382","27,52,92,891",311.1,77.32
2008,Northwest Territories,Hospitals,"14,15,00,642","14,22,05,350","28,37,05,992",242,76.44
2009,Northwest Territories,Hospitals,"14,55,51,885","14,63,12,272","29,18,64,156",289.5,76.61
2010,Northwest Territories,Hospitals,"15,84,58,338","15,90,16,878","31,74,75,216",300.3,76.77
2011,Northwest Territories,Hospitals,"17,06,54,242","17,14,27,886","34,20,82,128",310.4,77.59
2012,Northwest Territories,Hospitals,"19,22,77,669","19,33,14,872","38,55,92,541",332.4,77.91
2013,Northwest Territories,Hospitals,"20,78,77,716","20,83,66,946","41,62,44,662",308.4,77.82
2014,Northwest Territories,Hospitals,"20,98,98,972","21,03,28,772","42,02,27,744",376.3,77.65
2015,Northwest Territories,Hospitals,"21,88,95,239","21,94,17,433","43,83,12,672",327.7,77.65
2016,Northwest Territories,Hospitals,"22,84,16,620","22,89,28,840","45,73,45,459",392.2,77.21
2017,Northwest Territories,Hospitals,"22,58,89,718","22,62,33,801","45,21,23,520",414.3,77.11
2018,Northwest Territories,Hospitals,"24,11,17,416","24,15,29,232","48,26,46,647",381.7,76.93
2019,Northwest Territories,Hospitals,"28,83,80,445","28,89,92,372","57,73,72,817",438.8,77.37
2020,Northwest Territories,Hospitals,"30,06,77,180","30,33,37,535","60,40,14,716",337,77
